comentario,calificacion,marca,modelo
"(Esta reseña se ha recibido a través de una promoción.) Para empezar la camara capta hasta el más mínimo detalle y si eso no es suficiente también tiene herramientas muy diversas y útiles, luego en el area de juegos es el dispositivo más fluido que he usado y para acabar nunca me he sentido más comoda al editar o dibujar. Me encanta.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Todo muy bien me encanta!!ha sido una compra maravillosa muy recomendable,5,Samsung,Samsung S24 Ultra 256GB 12GB
Era todo lo que esperaba.,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Todo muy rápido! El móvil bonito, maravilloso y super",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Súper teléfono!! Tanto es así que se le regalé a mi marido y me voy a comprar yo otro,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Totalmente fascinada con el equipo, es como tener una portátil en la mano permanente. Y con una cámara espectacular",5,Samsung,Samsung S24 Ultra 256GB 12GB
"El mejor móvil que me he comprado en estos últimos años sin lugar a dudas, estoy muy contenta con él. Funciona de maravilla!! 😊",5,Samsung,Samsung S24 Ultra 256GB 12GB
"El teléfono perfecto, cómodo en la mano, resolución de pantalla espectacular, fluido y rápido... la transición entre apps es inmediata. Imposible que haya un móvil mejor que este",5,Samsung,Samsung S24 Ultra 256GB 12GB
buen movil todo perfecto。 calidad bueno funciona bien,5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Me parece un móvil increíble en todos los aspectos,5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Un buen teléfono y muy bonito creo que un teléfono para llevar siempre en el bolsillo,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Completo, batería duradera, yo tenia el note 9 y listo mejora",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Es un teléfono precioso, súper rápido y tiene unas cámaras excepcionales, es muy recomendable, yo soy fan de Samsung y no se me ocurrirá cambiar nunca, estoy súper contenta 😍",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Es precioso, muchas cosas, no tengo palabras para describirlo, en fin me encanta 100% lo recomiendo a todo el mundo",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Es un móvil de excelente calidad, cumple todo lo que promete ser de alta gama, un buen rendimiento, una buena batería, un procesador potente. Además de su cámara, buena calidad y apoyado con la IA que prácticamente complementa todo el dispositivo y en una gran cantidad de funciones que facilitan y sorprende en muchas tareas. Muy recomendable, increíble, pantalla imponente y fluida.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Las funciones de la cámara y video son estupendas!,5,Samsung,Samsung S24 Ultra 256GB 12GB
Es muy adaptable a las necesidades a superado mis expectativas tiene muchas funciones que facilitan las actividades del día a día,5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Una pantalla espectacular y una cámara brillante top,5,Samsung,Samsung S24 Ultra 256GB 12GB
Teléfono súper completo y con muchas utilidades tanto para el uso diario como para el uso profesional. Estoy muy satisfecho por la compra,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Lo tengo desde hace una semana y no tengo queja alguna. No me ha dado ningún tipo de problema. A pesar de ser un poco grande te acostumbras muy rápido. La cámara es de otro mundo, tal y como se describe. 100% recomendado.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Es un excelente móvil que ofrece infinidad de posibilidades, fluidez excelente, batería increíble y una pantalla increíble",5,Samsung,Samsung S24 Ultra 256GB 12GB
"El móvil va bastante bien, buena cámara y su pantalla se ve bien ,una autonomía buena . Muy equilibrado para cualquier uso.",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Pantalla gigante y muy buena. Las mejores fotos. Muy contento con la compra.,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Las fotos y vídeos son increíbles, es justo lo que buscaba. Si echo de menos que las esquinas fuesen redondeadas, para meterlo en el bolso más fácilmente pero no es un problema.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Excelente muy contento y seguro que lo recomiendo no se arrepentirán,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Soy un incondicional de Samsung. Vengo del antiguo S9 plus, el cual cambio porque, tras más de 6 años, su batería ha reducido su duración. Es salto al S24Ultra es considerable en todos los sentidos, uno de ellos, la duración de la batería, más de dos días sin cargar.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Contento con este producto, camara de buena calidad",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Muy buen móvil, la capacidad, la rapidez, y la cámara Excelente",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Teléfono perfecto, un 10 en todos los sentidos ++",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Estoy encantado con este telefono , buena pantalla, fotografías geniales",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) El teléfono me ha sorprendido gratamente con aplicaciones y características muy útiles que desconocía además de las que sí sabía que tenía. Me encanta mi S24 ultra. Estoy deseando descubrir todo lo que me puede ofrecer.,5,Samsung,Samsung S24 Ultra 256GB 12GB
Excelentes prestaciones y funcionalidades. Lo esperado para la calidad del producto.,5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Todo perfecto me ha encantado. Sus funciones en sí todo muy bien,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Es un excelente producto, en cuestion de bateria y almacenamiento, la resolucion de las camaras tanto frontal y trasera son las mejores.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Estoy muy contenta es un teléfono muy bueno y muy bonito de hecho solo utilizo teléfonos Samsung desde hace muchos años . Sigan así muy bien y muy buena tecnología,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Muy bien ,la cámara una pasada ,batería muy bien, Muy contento",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Terminal espectacular, prestaciones alucinantes y autonomía bastante aceptable",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Quiero decir que es un smartphone de última generación!!! Que tiene una cámara para poder hacer fotos como un profesional . La pantalla es maravillosa con fantástico brillo y me encanta este smartphone,5,Samsung,Samsung S24 Ultra 256GB 12GB
"El terminal es de muy buena calidad, la cámara es brutal no había visto nada igual en un móvil ,llevo dos semanas con el producto y cada día me sorprende",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Es muy bueno.recomiendo s24 ultra. Me gusta muchosu color,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Estoy maravillada,mi súper móvil, ya estaba contenta con mi note 10,lo único era la batería, una pena porque funciona a la perfección pero sin batería...este me dura hasta casi tres días ...wuaauuuuu... Lo único es que con los juegos se calienta..",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Un teléfono súper completo, con una batería increíble, muy rápido y una cámara que es una locura",5,Samsung,Samsung S24 Ultra 256GB 12GB
Es el mejor teléfono que tuve. Es buenísimo. Estoy esperando el s25 ultra. Sería bueno que las esquinas sean más curvas y no tan cuadradas. Y que tengan una versión en rojo!!,5,Samsung,Samsung S24 Ultra 256GB 12GB
Muy buen producto me encanta 💖,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Gran movil con un acabado elegante y con grandes caracteristicas, una muy buena funcionalidad, con muy buenas prestaciones, enorme cámara, todo un acierto su adquisición.",5,Samsung,Samsung S24 Ultra 256GB 12GB
El mejor telefono que he tenido con una camara increible,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Muy buen producto lo recomiendo un montón, bueno calidad precio",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Mi opinión después de unos días de prueba. Soy de Samsung de toda la vida, así que la interfaz ya la conocía. A mi, estéticamente me gusta, pero va a gustos. Es bastante grande pero como tengo las manos grandes no lo veo problemático, aunque es recomendable usar dos manos. También es bastante pesado, pero es algo lógico. Se ve muy bien hecho y robusto. La pantalla es grande como el móvil y se ve genial. El antireflejos realmente se nota (por cierto, no he tenido más suciedad que en otros móviles). La interfaz funciona con fluidez. La batería dura todo el día sin problema, si no te pasas con él. De hecho la estoy cargándo al 80% para protegerla. La inteligencia artificial es curiosa y tiene algunas cosas útiles, aunque yo no la uso demasiado, al igual que el S-Pen, que puede ir bien para algunas cosas. En cuanto a las cámaras, uno de sus mejores aspectos. En general hago fotos a 12 mpx, porque es suficiente. Los formatos de 50 mpx y 200 mpx, solo si tienes previsto hacer recortes. Tanto las fotos y los vídeos perfectos. El zoom de 100 mpx, sólo como curiosidad i ocasionalmente, porque la definición no es buena. En definitiva, encantado con la compra, era lo que esperaba.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Encantada con mi sansumg s24 ultra llevo años usando sansum desde el s10 hasta hoy!!,5,Samsung,Samsung S24 Ultra 256GB 12GB
"El teléfono bien diseño, rapidez, manejo , pero para gestionar regalo de la promoción con el carrefour muy mala información, deberia estar mejor informado si la gestión se hace desde su aplicación indicarlo",5,Samsung,Samsung S24 Ultra 256GB 12GB
Esta muy bien y fácil de manejar la imagen nítida y la ia biennn,5,Samsung,Samsung S24 Ultra 256GB 12GB
Me parece un movil muy útil además de bonito y de una calidad espectacular,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Me encanta mi nuevo Samsung es bonito, resistente a los golpes, es rápido y dura mucho la batería.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Buena calidad con cámara excepcional.Facil de utilizar,5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Un móvil muy completo. La marca Samsung funciona muy bien. Con este ya son 5 productos Samsung que he comprado.,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Es un teléfono con una estética muy atractiva, no pesa mucho para su tamaño y su cámara es genial. Siempre he tenido smartphones de la marca Galaxy y siempre estoy satisfecha.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Me gusta el diseño, la cámara y la velocidad de procesamiento de todo lo que necesito.",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Un móvil muy bueno y con una cámara muy potente y con un zoom increíble.,5,Samsung,Samsung S24 Ultra 256GB 12GB
Esto es una maravilla cada vez que compro Samsung salgo más contenta nunca me defrauda no me puedo quejar disfruto muchísimo su calidad rapidez rendimiento y todas sus funciones es verdad que me queda por sacarle mucho partido pero muy contenta,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Muy bueno , tiene muchas funcionalidades interesantes, como la IA además de ser un dispositivo rápido en la ejecución de tareas.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Compre mi s24ultra titanium violet el día 21 de octubre del 2024 con una oferta de un televisor de 50 pulgadas deseando que me llegue. El movil no puede ser más bonito, elegante y eficaz ,pragmatico y ligero. Ahora a disfrutarlo a tope.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Extraordinario, la cámara me tiene fascinado y aun sigo descubriendo funciones. Diseño, prestaciones, ¡todo és de número uno!",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Excelente teléfono, vengo del Samsung 21+ y siempre he sido y seré de Samsung.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Feliz con mi nuevo teléfono un gama alta que cumple.. aún sigo conociendo un poco más de sus funciones,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Me encanta, especialmente la calidad de las fotos y videos. Tiene muchísimas posibilidades y un diseño precioso",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.),5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) El terminar funciona perfecto, y la calidad de la cámara es impresionante.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Durante la última semana usando el Samsung S24 Ultra, la experiencia ha sido increíble. Lo que más me ha impresionado es lo bien que se adapta a cualquier situación. Desde revisar contenido, tomar fotos o simplemente disfrutar de series, la pantalla es simplemente espectacular. La fluidez del día a día hace que todo se sienta rápido y sin esfuerzo, y las fotos salen con un nivel de detalle sorprendente, incluso en situaciones de poca luz. Además, la batería dura lo suficiente para no preocuparme por cargarlo a mitad del día. Definitivamente ha sido un compañero perfecto para todo, y cada vez que lo uso, me sorprende más.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Un movil rematado en titanio, con una de las pantallas mejores del mercado y un procesador Qualcomm hacen de este modelo un producto excepcional.Rapirez de manejo con unas camaras top, que hacen disfrutar de fotografias profesionales.Un procesador super rapido que mueve juegos sin problema.Las aplicaciones fluyen sin atascos . Es uno de los mejores moviles actuales y merece el titulo del mejor del mercado en este momento.Recomendable.",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Pantalla grandiosa mejor imposible un gusto usarlo,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) El samsung s24 ultra es rápido su cámara un espectáculo, la mejor compra",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Buenas foto, rapidez, batería,cámara. Funciones AI.",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Es un movil estupendo un super regalo de cumpleaños,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Sin duda unos de los mejores dispositivos que he usado de Samsung , en pocas palabras una bestia de dispositivos 😁",5,Samsung,Samsung S24 Ultra 256GB 12GB
"El equipo cubre mis expectativas, es rápido y ágil. Las nuevas funciones me permite ser más rápido con la edición de vídeo etc.",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) El móvil está muy bien fabricado y tiene una calidad fotográfica genial.,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Es una pasada de móvil, recomiendo el 100% lo mejor que me he comprado",5,Samsung,Samsung S24 Ultra 256GB 12GB
Muy bueno facil para usar comparmos para mi negocio,5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.),5,Samsung,Samsung S24 Ultra 256GB 12GB
"Muy guapo, estamos empezando a descubrir sus funciones y capacidades.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"El móvil es el mejor del mercado,me he quedado impresionada, la rapidez,la cámara, la estética,las prestaciones.El mejor móvil del mercado digan lo que digan,no tiene rivales.Estoy feliz de tenerlo",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Teléfono impresionante nada más abrirle de la caja, súper cómodo a la hora de cogerlo , el diseño me ha encantado, el mejor Teléfono que he tenido hasta la fecha",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.),5,Samsung,Samsung S24 Ultra 256GB 12GB
Movil muy bueno para la utilidad que yo le doy. Vinculado a mi trabajo,5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Deseando probarlo cuanto antes. Buenas características y gran capacidad.,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Muy buen equipo, muy funcional. Perfecto para desarrollar la imaginación",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Magnifico, una autentica pasada, una cámara genial.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Muy buen producto, gran cámara de fotos especialmente en ambiebtes xcon poc luz y de noche",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Un móvil espectacular, se siente muy bien en la mano, su cámara y teleobjetivo son espectaculares. Gran fluidez y pantalla increíble.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Ha superado mis expectativas. Buena camara, buena estetica.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Fotos increíbles, pantalla espectacular, llevo pocos días con el pero hasta ahora estoy muy contento con la compra.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Estrenando el nuevo ""bicho"" de Samsung, desde mi querido y servicial Samsung Note 9, da vértigo la velocidad y prestaciones. Odiaba las transiciones entre móviles, y por eso tardo tanto en cambiar, pero esta ha sido muy fácil.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Me compré el Samsung S24 Ultra color gris titanium en tan tan solo una semana estoy muy satisfecha. Las funciones de la IA le aporta un plus espectacular, demasiado contenta, una muy buena compra",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Es un teléfono dificilmente superable, tanto en prestaciones como en velocidad, diseño y eficiencia. Siempre he sido fan y usuario de la marca Samsung, porque nunca me ha fallado. Este modelo en concreto me quita la añoranza que tenía de mi viejo Sansung Galaxy note 4, compañero de grandes batallas, que murió con las botas puestas.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Hasta hora muy contento la paltalla es increíble y apenas tiene reflejos o incluso nada de reflejos molestos, lo que me interesaba la cámara que hasta hora es magnífica saca unas fotos perfectas",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Me encanta su rapidez, su diseño, las imágenes nítidas de las fotos, el precio es accesible para tan buen aparato. Gran relación calidad, precio. Muy a gusto.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"ME ENCANTA MI NUEVO SAMSUNG GALAXY S24 ULTRA , LA CAMARA ES INCREIBLE EL ZOOM ES UNA PASADA, EL COLOR ME PARECE PRECIOSO.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Llevo 15 días de uso y es excelente. Los mejores videos y fotos!!,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Es un teléfono increíble, me ha dejado impresionado. Su diseño es elegante y moderno, y la pantalla es realmente nítida. El rendimiento es fluido y rápido, sin ningún tipo de lag. La cámara toma fotos increíbles, incluso en condiciones de poca luz. En general, estoy extremadamente satisfecho con este teléfono.",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Cámara de increíble resolución añadido a su inteligencia artificial y pantalla de alta definición hacen de este teléfono ser el mejor móvil premium en la actualidad,5,Samsung,Samsung S24 Ultra 256GB 12GB
Really brilliant experience with Samsung S24 Ultra . I love it AI features and Camera results. It's pen makes office task to done easily,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Magnifico movil, mi hija quedo flipando en colores",5,Samsung,Samsung S24 Ultra 256GB 12GB
Creo que tiene una de las dos mejores cámaras del mercado.,5,Samsung,Samsung S24 Ultra 256GB 12GB
Es un muy buen teléfono.. Yo soy de samsung.. incluso cuando los teléfonos no eran inteligentes.. Un verdadero placer,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Gran teléfono, y cámara inmejorable... Nada mejor que samsung!! Estoy encantados imágenes",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Lo compré ayer y wow! Me encanta la pantalla tan grande y de verdad, es una fantasía!",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Muy contento con la camara la bateria y la velocidad del movil , y unas fotos increibles",5,Samsung,Samsung S24 Ultra 256GB 12GB
Un excelente equipo de buena marca lo mejor que sacó Samsung,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Me gusta mucho el movil Hay que mejorar bastantes cosas Diseño, batería, memoria",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Gran compra. Móvil rápido, tamaño ideal y gran calidad de fotografía y videos",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Llevo usando una semana el movil y estoy fascinado con todas las funciones que ofrece. Lo que más me ha gustado, es la cámara que tiene una calidad y unos detalles de imagen que parece que estuviese grabando una película de hollywood.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) No ha pasado mucho tiempo desde que obtuve este celular, es divino y funciona perfecto.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) La verdad que quede fascinado con el Samsung Galaxy S24 Ultra en color negro titanio, es un top en todos los sentidos... Gracias Samsung por existir.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Era el smarphone que estaba esperando, para mi el más completo que se ha fabricado hasta el momento, nada supera al Samsung Galaxy S24 Ultra.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Soy cliente fiel de los Smartphone de Samsung y cada 3 años cambio al último modelo. En este caso ha el Galaxy S24 +. Estoy muy satisfecho con el teléfono, agilidad en la respuesta, memoria,calidad de fotografía, con una pantalla con calidad extraordinaria, estoy muy satisfecho con mi Samsung .",5,Samsung,Samsung S24 Ultra 256GB 12GB
Me actualicé desde el OnePlus y estoy muy impresionado. Me encanta el diseño y se siente muy premium y elegante. Los primeros días de uso y ya puedo decir que es muy potente. La cámara es increíble y puede tomar excelentes fotografías sin mucho esfuerzo. Hasta ahora me encanta.,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Excelente móvil, cómodo y de gran potencia, me encanta",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Me he comprado el Samsung Galaxy S24 Ultra hace tres días y estoy encantado, no me puede gustar más 😀",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Muy buen teléfono con una gran cámara y batería para 2 días. Muy útil el lapiz,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Galaxy s24 ultra. He comprado este terminal y es fantástico, me ha encantado la cámara y el gran zoom de 200 mgapixeles. La inteligencia artificial es la caña, y me está ayudando bastante en el día a día con live traslate. Muchas gracias por este gran terminal seguiré con Samsung.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Movil perfecto para exprimir las fotos,los videos y en general todo",5,Samsung,Samsung S24 Ultra 256GB 12GB
Me encanta samsung no lo cambio por nada yo antes tenía note 20,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Tamaño ideal ,saca muy buenas fotos y va muy fluido",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Excelente en rendimiento, cámaras, batería y materiales construcción",5,Samsung,Samsung S24 Ultra 256GB 12GB
Excelente movil del mercado y su cámara excelente la mejor,5,Samsung,Samsung S24 Ultra 256GB 12GB
"La verdad es que es un espectáculo de telefpno, tanto a rendimiento interno como externo me han quedado asombrados. Ahora solo queda disfrutarlo.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Precioso móvil, fantástica cámara. Soy de Samsung 100%. Lo recomiendo.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"S24 ultra lo mejor del 2024.. completo en todo, cámara, inteligencia artificial, velocidad, autonomía . Todo espectacuplus",5,Samsung,Samsung S24 Ultra 256GB 12GB
Excelente teléfono muy buena cámara y cómodo al momento de uso.,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Buen producto, buena pantalla y durabilidad Producto muy recomendable",5,Samsung,Samsung S24 Ultra 256GB 12GB
"El celular lo llevo usando unas 3 semanas y estoy muy fascinado, la pila es lo mejor le dura 1 día y medio y eso uso el cel para llamadas y tomar fotos por mi trabajo y la verdad estoy más que fascinado",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Una pasada de camara y un 10 el pen, en general muy buen telefono, y el gris titanio muy acertado.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"No solo la sensación al tenerlo en mano, la velocidad de carga, la mejor pantalla que he visto en un móvil, su diseño inconfundible, cada característica interna y externa me hacen saber, que es el mejor móvil que he tenido en mi vida.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Me parece un teléfono increíble! excelente por Samsung,5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) La mejor compra que he podido hacer para sustituir mi viejo Galaxy S10. Pantalla inmejorable y grandes prestaciones. Muy feliz con la elección.,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Samsung no me ha defraudado con este teléfono. El potencial que tiene es maravilloso, me gusta en la mano y me resulta fácil manejarlo. Es muy rápido.yo en pasado de s8 a s20 y finalmente s24 Ultra 512gb. La IA es increíble. Aún estoy descubriendo funciones. Contento con la batería.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Estupendas fotos nocturnas. Soy aficionado a la astronomía y estoy deseando hacer fotos de la vía láctea,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Móvil muy completo, ligero. Definición de cámara espectacular, lo mejor sin duda. Muy recomendable.",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) The phone is easy to use with AI integration and also the camera quality is amazing and no other phone or brand can match this. Overall Value for Money and I recommend buying this phone.,5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Es una pasada el móvil, dudaba si comprarlo o esperar un nuevo lanzamiento de otro modelo. Pero no me arrepiento, el móvil es mejor de lo que pensé. 😀",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Estoy alicinando con el teléfono, y la cámara que tiene es mejor que cualquier cámara profesional, me encanta cumple con todas mis expectativas.",5,Samsung,Samsung S24 Ultra 256GB 12GB
Muy buen móvil. Aún descubriendo todas sus novedades,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Excelente Mobil versátil muy amigable, pantalla nítida",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) Va genial,la batería dura bastante,la cámara de fotos una pasada,el teléfono en sí muy bien",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Demasiado bueno, funciona muy fluido la calidad de la cámara pantalla es brutal",5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Muy buen teléfono 512 gb en color titanio natural.,5,Samsung,Samsung S24 Ultra 256GB 12GB
(Esta reseña se ha recibido a través de una promoción.) Muy buen etelfono s24 ultra 512 violeta gran pantalla 12 gigas de ram fantástico para rendimiento y otras funciones,5,Samsung,Samsung S24 Ultra 256GB 12GB
"Llevo 3 semanas usándolo es realmente bueno, valió la pena la espera y el envío fue antes de lo programado",5,Samsung,Samsung S24 Ultra 256GB 12GB
"El mejor teléfono sin duda, muy por encima de la competencia. Facilidad de uso, seguro, robusto, potente y con un diseño increíble.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Estoy encantado con este telefono, es BESTIAL en todos los aspectos!!",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Vengo del S23 Ultra, y necesitaba esta pantalla plana. Perfecto.",5,Samsung,Samsung S24 Ultra 256GB 12GB
"(Esta reseña se ha recibido a través de una promoción.) He adquirido el nuevo Samsung S24 Ultra, este dispositivo es una maquina perfecta para cualquier situación destacando por su fluidez duración de la batería y la gran calidad de fotos y videos que ofrece",5,Samsung,Samsung S24 Ultra 256GB 12GB
"Impresionante, rapido y ligero. Fácil gestión del movil",5,Samsung,Samsung S24 Ultra 256GB 12GB
